Title,Venue short,Year,Task Type,Task,Programming Language(s),Training Set Size,Test Set Size,Granularity,Pre-Training,is_ML_Based,ML Technique,Approach,Evaluation Metrics,Solution in industry,Qualitative,Link Replication Package,is_RP_still_available
A Multi-Step Learning Approach to Assist Code Review,SANER,2023,Code Change Quality Check,Predicting Problematic Code Elements,Java,"2,349.1k","1,174.6k",Code line,TRUE,TRUE,"BERT, RoBERTa, CodeBERT, and GraphCodeBERT",DL,"PrecisionRecallF1-score",FALSE,TRUE,NO,-
A hybrid approach to code reviewer recommendation with collaborative filtering,SoftwareMining,2017,Other,Recommending Reviewers,Independent,15.5k,3k,PR,FALSE,TRUE,Stochastic Gradient Descent,ML,"Precision@k Recall@k",FALSE,FALSE,NO,-
A multi-objective effort-aware approach for early code review prediction and prioritization,EMSE,2024,Time Management,Prioritizing Review Requests,Independent,146.6k (10-fold cross-validation),146.6k (10-fold cross-validation),Code change,FALSE,FALSE,-,Search-based,"Area Under the ROC Curve Accuracy Performance Optimization",FALSE,FALSE,https://github.com/stilab-ets/CostAwareCR,YES
A multi-objective effort-aware approach for early code review prediction and prioritization,EMSE,2024,Code Change Classification,"Predicting Code Changes Approval, Merge, or Need for review",Independent,146.6k (10-fold cross-validation),146.6k (10-fold cross-validation),Code change,FALSE,FALSE,-,Search-based,"Area Under the ROC CurveAccuracyPerformance Optimization",FALSE,FALSE,https://github.com/stilab-ets/CostAwareCR,YES
A prelinary investigation on using multi-task learning to predict change performance in code reviews,EMSE,2024,Code Change Classification,"Predicting Code Changes Approval, Merge, or Need for review",Independent,661'392,661'392,Code change,FALSE,TRUE,"Shared-Bottom, OMoE, MMoE, ESMM, SNR, CGC, PLE, and AITM",ML,"Mean Absolute Error
Root Mean Squared Error Normalized Root Mean Squared Error",FALSE,FALSE,https://figshare.com/s/7930029ea5ec5af2845d,YES
A prelinary investigation on using multi-task learning to predict change performance in code reviews,EMSE,2024,Time Management,Predicting Pull Request/Code Review Completion Time,Independent,661'392,661'392,Code change,FALSE,TRUE,"Shared-Bottom, OMoE, MMoE, ESMM, SNR, CGC, PLE, and AITM",ML,"Precision
Recall
F1-score
Area Under the ROC Curve",FALSE,FALSE,https://figshare.com/s/7930029ea5ec5af2845d,YES
AI-Assisted Assessment of Coding Practices in Modern Code Review,AIWARE,2024,Code Change Quality Check,Generating Review Comments,"C++, Java, Python, Go",800k,-,Code change,TRUE,TRUE,T5,DL,"total duration of code reviews
time developers actively spent on the code review
number of review iterations
coding speed",TRUE,TRUE,NO,-
AUGER: automatically generating review comments with pre-training models,ESEC/FSE,2022,Code Change Quality Check,Generating Review Comments,Java,~117k,~11.7k,Method,TRUE,TRUE,T5-based (CodeTrans),DL,"ROUGE-L  Precision  Recall  F1-score  Exact Match",FALSE,FALSE,https://gitlab.com/ai-for-se-public-data/auger-fse-2022,YES
Adopting Learning-to-rank Algorithm for Reviewer Recommendation ,CSASE,2022,Other,Recommending Reviewers,Independent,from ~50k to ~450k (sliding window  apporoach),~50k,PR,FALSE,TRUE,Learning-to-rank,ML,"Mean Reciprocal Rank
Top-k",FALSE,FALSE,https://github.com/liuj888/ReviewerRecommendationLtR,YES
An Empirical Study on Code Review Activity Prediction and Its Impact in Practice,PACMSE,2024,Code Change Quality Check,Predicting Problematic Code Elements,"Python, C++",-,-,File,TRUE,TRUE,"Bag-of-Words (BoW)
Bloom (LLM)",ML + DL,"Area Under the ROC Curve
F1-score
Geometric Mean Precision Recall",FALSE,TRUE,https://zenodo.org/records/10783562,YES
AutoTransform: Automated Code Transformation to Support Modern Code Review Process,ICSE,2022,Revised Code Generation,Predicting the Code Output of the Review Process,Java,~118k,~14.7k,Method,FALSE,TRUE,Transformer-based NMT,DL,Exact Match@k,FALSE,FALSE,https://github.com/awsm-research/AutoTransform-Replication,YES
Automated Identification of Toxic Code Reviews Using ToxiCR,TOSEM,2023,Code Review Sent. Analysis,Identifying Toxic/Uncivil Code Review Comments,Independent,19651 (10-fold cross-validation),19651 (10-fold cross-validation),Comment,TRUE,TRUE,Varie,ML + DL,"Precision Recall F1-score Accuracy",FALSE,FALSE,https://github.com/WSU-SEAL/ToxiCR,YES
Automatic classification of review comments in pull-based development model,SEKE,2017,Other,Classifying the Goal of a Review Comment or the Type of Change Triggered by a Comment,Independent,"5,645 (10-fold cross-validation)","5,645 (10-fold cross-validation)",Review comment,FALSE,TRUE,SVM,ML,"Precision  Recall  F1-score",FALSE,FALSE,https://www.trustie.net/projects/2455,YES
Automatic patch linkage detection in code review using textual content and file location features,JIST,2021,Code Change Analysis,Linking Similar Contributions,Java (the code is not used),-,383k,Commit/Patch,FALSE,FALSE,-,Heuristic-based,"Recall@k Precision@k  Mean Reciprocal Rank@k",FALSE,FALSE,https://github.com/dong-w/Replication-Patch-Linkage,YES
Automatically Recommending Peer Reviewers in Modern Code Review,TSE,2016,Other,Recommending Reviewers,Independent,-,"1,287",PR,FALSE,FALSE,-,Heuristic-based,"Precision@k  Recall@k  F-score@k  Mean Reciprocal Rank@k",FALSE,FALSE,http://serl.cs.wichita.edu/svn/projects/CodeReview/CodeReview/trunk/Data,NO
CodeReviewer: Automating Code Review Activities by Large-Scale Pre-Training,ESEC/FSE,2022,Code Change Classification,"Predicting Code Changes Approval, Merge, or Need for review","C, C++, C#, Go, Java, JavaScript, PHP, Python, and Ruby ",~118k (training) + ~10k (validation),~10k,Code change hunk,TRUE,TRUE,T5,DL,"Accuracy
Precision
Recall
F1-score",FALSE,FALSE,https://github.com/microsoft/CodeBERT/tree/master/CodeReviewer,YES
CodeReviewer: Automating Code Review Activities by Large-Scale Pre-Training,ESEC/FSE,2022,Code Change Quality Check,Generating Review Comments,"C, C++, C#, Go, Java, JavaScript, PHP, Python, and Ruby ",~118k (training) + ~10k (validation),~10k,Code change hunk,TRUE,TRUE,T5,DL,BLEU-4,FALSE,TRUE,https://github.com/microsoft/CodeBERT/tree/master/CodeReviewer,YES
CodeReviewer: Automating Code Review Activities by Large-Scale Pre-Training,ESEC/FSE,2022,Revised Code Generation,Implementing the Code Change Requested by a Reviewer,"C, C++, C#, Go, Java, JavaScript, PHP, Python, and Ruby ",~118k (training) + ~10k (validation),~10k,Code change hunk,TRUE,TRUE,T5,DL,BLEU-4,FALSE,TRUE,https://github.com/microsoft/CodeBERT/tree/master/CodeReviewer,YES
Automating modern code review processes with code similarity measurement,JIST,2024,Retrieval of Similar CR/CC,Augmenting Reviews,Java,150k,150k,Code change/Comment,FALSE,FALSE,-,IR,"BLEU
METEOR
ROUGE
Exact Match
Execution time

Manually:
Suitable
Same meaning
Alternative solution
Not suitable",FALSE,TRUE,https://github.com/ykartal/Github-SourceCode-Review,YES
BLIMP Tracer: Integrating Build Impact Analysis with Code Review,ICSME,2018,Code Change Classification,Identifying Impactful Code Changes,"C, C++, Java, C# … ",-,-,Commit,FALSE,FALSE,-,Heuristic-based,-,TRUE,TRUE,NO,-
CORE: Automating Review Recommendation for Code Changes,SANER,2020,Retrieval of Similar CR/CC,Augmenting Reviews,Java,~257.6k,~85.9k,Diff hunk,FALSE,TRUE,LSTM,DL,"Recall@k  Mean Reciprocal Rank",FALSE,TRUE,https://sites.google.com/view/core2019/,YES
